Last data fetched on:

 01.06.2022, 15:58
 03.06.2022, 15:52
 03.06.2022, 15:53
 03.06.2022, 18:27
 04.06.2022, 01:54
 04.06.2022, 06:26
 04.06.2022, 12:36
 04.06.2022, 18:26
 05.06.2022, 02:07
 05.06.2022, 06:27
 05.06.2022, 12:38
 06.06.2022, 02:05
 06.06.2022, 06:30
 06.06.2022, 12:49
 06.06.2022, 18:28
 07.06.2022, 02:00
 07.06.2022, 06:29
 07.06.2022, 12:48
 07.06.2022, 18:27
 08.06.2022, 02:00
 08.06.2022, 06:28
 08.06.2022, 12:51
 08.06.2022, 18:28
 09.06.2022, 02:03
 09.06.2022, 06:29
 09.06.2022, 12:49
 09.06.2022, 18:28
 10.06.2022, 02:08
 10.06.2022, 06:28
 10.06.2022, 12:49
 10.06.2022, 18:34
 11.06.2022, 02:01
 11.06.2022, 06:27
 11.06.2022, 12:39
 11.06.2022, 18:26
 12.06.2022, 02:20
 12.06.2022, 06:28
 12.06.2022, 12:37
 12.06.2022, 18:26
 13.06.2022, 02:16
 13.06.2022, 06:31
 13.06.2022, 09:43
 13.06.2022, 09:45
 13.06.2022, 09:51
 13.06.2022, 09:55
 13.06.2022, 09:58
 13.06.2022, 12:47
 13.06.2022, 18:30
 14.06.2022, 02:22
 14.06.2022, 06:29
 14.06.2022, 12:46
<<<<<<< Updated upstream
 15.06.2022, 03:07
 15.06.2022, 13:34
 16.06.2022, 02:59
 16.06.2022, 13:33
 17.06.2022, 03:03
 17.06.2022, 13:30
 18.06.2022, 02:57
 18.06.2022, 13:23
 19.06.2022, 03:12
 19.06.2022, 13:22
 20.06.2022, 02:53
 20.06.2022, 13:37
 21.06.2022, 03:05
 21.06.2022, 13:40
 22.06.2022, 03:05
 22.06.2022, 13:36
 23.06.2022, 03:08
 23.06.2022, 13:37
 24.06.2022, 03:09
 24.06.2022, 13:36
 25.06.2022, 03:07
 25.06.2022, 13:22
 26.06.2022, 03:11
 26.06.2022, 13:23
 27.06.2022, 03:13
 27.06.2022, 13:40
 28.06.2022, 03:09
 28.06.2022, 13:37
 29.06.2022, 03:17
 29.06.2022, 13:35
 30.06.2022, 03:12
 30.06.2022, 13:35
 01.07.2022, 03:26
 01.07.2022, 13:35
 02.07.2022, 03:12
 02.07.2022, 13:22
 03.07.2022, 03:07
 03.07.2022, 13:22
 04.07.2022, 03:17
 04.07.2022, 13:35
 05.07.2022, 03:13
 05.07.2022, 13:41
 06.07.2022, 03:20
 06.07.2022, 13:39
 07.07.2022, 03:18
 07.07.2022, 13:47
 08.07.2022, 03:10
 08.07.2022, 13:44
 09.07.2022, 02:56
 09.07.2022, 13:24
=======
 09.07.2022, 16:30
 09.07.2022, 16:33
 09.07.2022, 16:40
 09.07.2022, 16:50
 09.07.2022, 16:55
 09.07.2022, 17:00
 09.07.2022, 17:01
>>>>>>> Stashed changes

 09.07.2022, 17:05
 09.07.2022, 17:09
<<<<<<< HEAD
 31.07.2022, 20:28
 02.08.2022, 14:38
 02.08.2022, 15:37
 02.08.2022, 15:38
=======
 10.07.2022, 03:10
 10.07.2022, 13:24
 11.07.2022, 03:08
 11.07.2022, 13:40
 12.07.2022, 03:25
 12.07.2022, 13:37
 13.07.2022, 03:12
 13.07.2022, 13:38
 14.07.2022, 03:21
 14.07.2022, 13:40
 15.07.2022, 03:22
 15.07.2022, 13:43
 16.07.2022, 03:02
 16.07.2022, 13:24
 17.07.2022, 03:13
 17.07.2022, 13:24
 18.07.2022, 03:11
 18.07.2022, 13:53
 19.07.2022, 03:25
 19.07.2022, 13:40
 20.07.2022, 03:12
 20.07.2022, 13:40
 21.07.2022, 03:12
 21.07.2022, 13:38
 22.07.2022, 03:17
 22.07.2022, 13:35
 23.07.2022, 03:06
 23.07.2022, 13:26
 24.07.2022, 03:12
 24.07.2022, 13:28
 25.07.2022, 03:15
 25.07.2022, 13:38
 26.07.2022, 03:30
 26.07.2022, 13:38
 27.07.2022, 03:19
 27.07.2022, 13:43
 28.07.2022, 03:09
 28.07.2022, 13:40
 29.07.2022, 03:23
 29.07.2022, 13:38
 30.07.2022, 03:13
>>>>>>> 04313a797bcad001ea513727629dcec90a62d11d

 02.08.2022, 15:40
 03.08.2022, 03:21
 03.08.2022, 13:37
 04.08.2022, 03:02
 04.08.2022, 13:36
 05.08.2022, 03:13
 05.08.2022, 13:39
 06.08.2022, 02:56
 06.08.2022, 13:25
 07.08.2022, 03:02
 07.08.2022, 13:25
 08.08.2022, 03:08
 08.08.2022, 13:39
 09.08.2022, 03:12
 09.08.2022, 13:45
 10.08.2022, 02:42
 10.08.2022, 13:31
 11.08.2022, 02:57
 11.08.2022, 13:38
 12.08.2022, 03:04
 12.08.2022, 13:39
 13.08.2022, 02:56
 13.08.2022, 13:26
 14.08.2022, 03:10
 14.08.2022, 13:27
 15.08.2022, 03:25
 15.08.2022, 13:38
 16.08.2022, 03:16
 16.08.2022, 13:29
 20.08.2022, 03:08
 20.08.2022, 13:25
 21.08.2022, 03:13
 21.08.2022, 13:26
 22.08.2022, 03:25
 22.08.2022, 13:38
 23.08.2022, 02:00
 23.08.2022, 02:39
 23.08.2022, 13:17
 23.08.2022, 18:30
 24.08.2022, 01:36
 24.08.2022, 13:17
 25.08.2022, 01:34
 25.08.2022, 13:19
 26.08.2022, 01:38
 26.08.2022, 13:16
 27.08.2022, 01:38
 27.08.2022, 13:13
 28.08.2022, 01:41
 28.08.2022, 13:12
 29.08.2022, 01:45
 29.08.2022, 01:48
 29.08.2022, 13:19
 30.08.2022, 01:41
 30.08.2022, 13:19
 31.08.2022, 01:43
 31.08.2022, 13:19
 01.09.2022, 01:41
 01.09.2022, 13:18
 02.09.2022, 01:37
 02.09.2022, 13:19
 03.09.2022, 01:42
 03.09.2022, 13:12
 04.09.2022, 01:39
 04.09.2022, 13:14
 05.09.2022, 01:41
 05.09.2022, 13:20
 06.09.2022, 01:44
 06.09.2022, 13:19
 07.09.2022, 01:40
 07.09.2022, 13:23
 08.09.2022, 01:39
 08.09.2022, 13:18
 09.09.2022, 01:41
 09.09.2022, 13:20
 10.09.2022, 01:41
 10.09.2022, 13:15
 11.09.2022, 01:35
 11.09.2022, 13:15
 12.09.2022, 01:41
 12.09.2022, 13:21
 13.09.2022, 01:42
 13.09.2022, 13:21
 14.09.2022, 01:41
 14.09.2022, 13:21
 15.09.2022, 01:39
 15.09.2022, 13:21
 16.09.2022, 01:41
 16.09.2022, 13:20
